Table V9.0,fnGetKeys.Key,fnGetKeys.Description,fnGetKeys.Duplicates,fnGetKeys.Activity code
ATEXTE,NUMERO,LAN+NUMERO,No,
ATEXTE,TEXTE,LAN+TEXTE,Yes,
ATEXTE,CLEREC,LAN+CLEREC,Yes,
ATEXTE,DERNUM,NUMERO+LAN,No,
ATEXTEXCEP,AEX0,VERORI+LAN+NUMERO,No,
ATEXTEXCEP,AEX1,VERORI+NAMREP+SUBREP+SECREP+OBJREP+LAN,No,
ATEXTRA,AXX0,CODFIC+ZONE+LANGUE+IDENT1+IDENT2,No,
ATEXTRA,AXX1,LANGUE+CODFIC+ZONE,Yes,
ATMPTRA,ATT0,NUMREQ+LIG,No,
ATRADIS,ATS0,NUMERO,No,
ATRADIS,ATS1,LANGUE+EXTDAT,Yes,
ATRADIS,ATS2,LANGUE+INTDAT,Yes,
ATRADIS,ATS3,LANGUE+NUMERO,No,
ATRANSAC,ATN0,COD,No,
ATRANSAC,ATN1,OBJGES,Yes,
ATYPE,CODTYP,CODTYP,No,
ATYPE,GLOBVAR,TYPTYP+CODTYP,No,
ATYPELNK,ATYL0,CODTYP+CODLNK,No,
ATYPELPAR,ATYLP0,CODTYP+CODLNK+PARCOD,No,
ATYPEPRO,ATYP0,COD,No,
ATYPERPAR,ATYRP0,CODTYP+TYPRUL+TRTRUL+PRGRUL+PARCOD,No,
ATYPERPAR,ATYRP1,CODTYP+TYPRUL+TRTRUL+PRGRUL+PARORD,Yes,
ATYPERUL,ATYR0,CODTYP+TYPRUL+TRTRUL+PRGRUL,No,
AUDITBI,AUD0,SEQ,No,
AUDITBI,AUD1,STA+SEQ,No,
AUDITBI,AUD2,ADOUSR,Yes,
AUDITBI,AUD3,STABI+SEQ,No,
AUDITH,AUD0,SEQ,No,
AUDITH,AUD1,STA+SEQ,No,
AUDITH,AUD2,ADOUSR,Yes,
AUDITH,AUD3,STABI+SEQ,No,
AUDITL,AUL0,SEQ+COL,No,
AURL,AUR0,CODURL,No,
AUSRBPR,AUB0,USR+BPR+ROL,No,
AUSRSOL,AUO0,USR,No,
AUSRSTA,AUA0,NUM,No,
AUSRSTA,AUA1,DOSSIER+USR+PER+EVT+ARG1+ARG2,No,
AUTILIS,CODUSR,USR,No,
AUTILIS,LOGIN,LOGIN,Yes,
AVALATT,AVA0,CODNUM+SITE+PERIODE+COMP+VALEUR,No,
AVALNUM,AVN0,CODNUM+SITE+PERIODE+COMP,No,
AVARLOC,AVR0,TYP+FCT+COD,No,
AVIEW,AVW0,CODVUE,No,
AVIEW,AVW1,ABRVUE,Yes,
AVIEWB,AVB0,CODVUE+TYPDBA,No,
AVIEWC,AVC0,CODVUE+CODCLE,No,
AVIEWC,AVC1,CODVUE+NUMLIG+CODCLE,No,
AVIEWD,AVD0,CODVUE+NUMLIG+FLDVUE,No,
AVIEWD,AVD1,CODVUE+FLDVUE,No,
AVIEWD,AVD2,CODTYP+CODVUE+FLDVUE,No,
AVOCAB,AVO0,LAN+VER+TYP+CHP+NUM,No,
AVOLUME,CODE,VOLUME,No,
AWEBSERDES,AWY1,PUBLI+GRP+CHP,No,
AWEBSERVIC,AWE1,PUBLI,No,
AWINBOUT,AWT0,WIN+NUM+CODBOUT,No,
AWINBRO,AWB0,WIN,No,
AWINDOW,AWI0,WIN,No,
AWINDOW,AWI1,OBJ+WIN,No,
AWINDOW,AWI2,OBJ+TRN+WIN,No,
AWINPAR,AWP0,WIN+NUM+NOPAR+PARAM,No,
AWRKHISDES,AWO0,CHRONO+EMAIL,No,
AWRKHISDES,AWO1,LNKHTP,Yes,
AWRKHISJOI,AWJ0,CHRONO+JOINUM,No,
AWRKHISMES,AWG0,CHRONO,No,
AWRKHISMES,AWG1,REFGRP+NUMGRP+CHRONO,No,
AWRKHISSUI,AWS0,CHRONO+DEST,No,
AWRKHISSUI,AWS1,NUMORG+CHRONO+DEST,No,
AWRKHISSUI,AWS2,DEST+CHRONO,No,
AWRKHISSUI,AWS3,CHRONO+EMAIL,Yes,
AWRKHISSUI,AWS4,NUMGRP+CHRONO+USRTOP,Yes,
AWRKHISSUI,AWS5,TYPEVT+CLEOBJ+IDENTGRP+NUMORG+LEVSIG,Yes,
AWRKHISSUI,AWS6,CODWRK+CODEVT+FLGSIG+DEST,Yes,
AWRKLNK,AWM0,MODELE,No,
AWRKLNK,AWM1,CODSTR+MODELE,No,
AWRKPAR,AWA0,CODE,No,
AWRKPAR,AWA1,TYPEVT+CODEVT+CODE,No,
AWRKPAR,AWA2,CATEG+CODE,No,
AWRKPARC,AWC0,CODE+NUMACT,No,
AWRKPARF,AWF0,CODE,No,
AWRKPARH,AWH0,CODE,No,
AWRKPARX,AWX0,CODE,No,
AWRKREG,AWR0,CPY+REGLE,No,
AWRKREG,AWR1,REGLE+CPY,No,
AWRKREG,AWR2,MODELE+REGLE+CPY,No,
AWRKREGVAL,AWV0,REGLE+CPY+NUMLIG,No,
AWRKTAB,AWK0,MODELE+NUMLIG,No,
AWRKTRN,AWW0,WRKTRN,No,
AWRKTRND,AWD0,WRKTRN+NUMMSK,No,
AWRKUSR,AWU0,USER+NUMDEL,No,
AWSDL,AXL0,CWSDL,No,
AWSDL1,AX10,CWSDL+TWSDL+NWSDL,No,
AYTACT,AYA0,FCYCOD+ACTCOD,No,
AYTADVPAR,AYU0,FCYCOD+OBJTYP+OBJCOD+LIN,No,
AYTBASKED,AYK0,NUM+BASKLIN,No,
AYTDOC,AYY2,LAN+DOCCOD,No,
AYTDOC,AYY0,DOCCOD+LAN,No,
AYTDOC,AYY1,CAT+BRWX3,No,
